Rulero,Escuela,Distancia,x_wgs,y_wgs
2,FRAY LUIS BELTRAN,3319.552394,-68.86139,-32.86562
2,JARDIN MATERNAL LA CASITA,3673.249123,-68.86139,-32.86562
2,INST.SUP.TEC.ESTUD.EC.DE CUYO,3405.180624,-68.86139,-32.86562
2,INST. SUPERIOR DE NIVEL TERICIARIO S.I.E,4351.442967,-68.86139,-32.86562
2,COL. UNIVERSITARIO CENTRAL J. DE SAN MAR,4259.186848,-68.86139,-32.86562
2,ESCUELA CRISTIANA EVANGELICA MENDOZA,3206.996765,-68.86139,-32.86562
2,SAN GABRIEL,4157.348187,-68.86139,-32.86562
2,BELLAS ARTES,3813.736312,-68.86139,-32.86562
2,ARISTIDES VILLANUEVA,3822.965952,-68.86139,-32.86562
2,JARDIN MATERNAL LOS LOCOS BAJITOS,4429.411418,-68.86139,-32.86562
2,ING. PABLO NOGUES,3975.3343,-68.86139,-32.86562
2,JARDIN MATERNAL OBRITAS,4097.394213,-68.86139,-32.86562
2,HUMBERTO DE PAOLIS,3558.012441,-68.86139,-32.86562
2,ARQ. MANUEL V. CIVIT,3576.129233,-68.86139,-32.86562
2,ESCUELA N�?? 3-406 (CENS),2433.128476,-68.86139,-32.86562
2,SAN FRANCISCO JAVIER,4451.943224,-68.86139,-32.86562
2,INSTITUTO SUPERIOR DE LA EMPRESA,4262.537865,-68.86139,-32.86562
2,HUMBERTO DE PAOLIS,3563.891809,-68.86139,-32.86562
2,FUNDACION BRASILIA,3494.380037,-68.86139,-32.86562
2,INSTITUTO INTERCULTURAL,4139.943345,-68.86139,-32.86562
2,NTRA. SRA. DE LA MISERICORDIA,3962.290907,-68.86139,-32.86562
2,ADOLFO PEREZ ESQUIVEL,4218.936296,-68.86139,-32.86562
2,BARTOLOME MITRE,4209.191511,-68.86139,-32.86562
2,CORAZON DE MARIA,2933.501752,-68.86139,-32.86562
2,ESC. DE PERIODISMO DEPORTIVO DE MENDOZA,4159.797124,-68.86139,-32.86562
2,NTRA.SRA. DE LA MISERICORDIA,3956.963114,-68.86139,-32.86562
2,CORAZON DE MARIA,2941.801737,-68.86139,-32.86562
2,ADVENTISTA,2494.968344,-68.86139,-32.86562
2,DR.JUAN AGUSTIN MAZA,2176.683217,-68.86139,-32.86562
