ID,x_wgs,y_wgs
417,-68.84195,-32.89014
418,-68.8438,-32.88642
419,-68.84376,-32.88643
420,-68.8421,-32.8856
421,-68.84086,-32.88583
422,-68.83957,-32.88607
423,-68.84356,-32.88647
424,-68.83883,-32.88848
425,-68.83826,-32.88631
426,-68.83855,-32.88739
427,-68.83858,-32.88739
428,-68.83911,-32.88955
429,-68.83937,-32.89057
430,-68.83681,-32.88743
431,-68.83691,-32.88857
432,-68.83911,-32.88953
433,-68.83699,-32.8897
434,-68.84435,-32.88857
435,-68.84224,-32.89125
436,-68.84322,-32.88989
437,-68.84491,-32.89076
438,-68.84469,-32.89081
439,-68.84351,-32.89102
440,-68.84073,-32.89038
441,-68.85161,-32.89586
442,-68.85168,-32.89609
443,-68.85147,-32.89593
444,-68.85146,-32.89595
445,-68.85354,-32.8959
446,-68.85468,-32.89606
447,-68.85451,-32.89606
448,-68.85365,-32.89673
449,-68.85549,-32.89693
450,-68.85386,-32.89827
451,-68.85404,-32.89939
452,-68.85175,-32.89586
453,-68.85192,-32.89603
454,-68.85183,-32.89622
455,-68.85274,-32.89945
456,-68.85173,-32.89625
457,-68.85217,-32.89787
458,-68.85257,-32.89937
459,-68.85121,-32.8979
460,-68.85065,-32.8979
461,-68.85143,-32.89611
462,-68.85158,-32.89625
463,-68.85243,-32.89939
464,-68.8527,-32.89945
465,-68.85456,-32.89663
466,-68.85459,-32.89694
467,-68.8547,-32.89824
468,-68.84226,-32.89638
469,-68.84092,-32.89645
470,-68.84095,-32.89651
471,-68.83984,-32.89652
472,-68.84304,-32.89941
473,-68.84306,-32.8995
474,-68.84341,-32.8995
475,-68.84227,-32.89651
476,-68.84257,-32.89765
477,-68.84266,-32.89799
478,-68.84386,-32.89824
479,-68.84298,-32.89923
480,-68.83999,-32.89935
481,-68.84169,-32.89936
482,-68.84044,-32.9003
483,-68.84098,-32.89664
484,-68.84131,-32.8979
485,-68.84139,-32.89822
486,-68.84166,-32.89922
487,-68.83993,-32.89923
488,-68.83997,-32.8993
489,-68.83864,-32.89727
490,-68.83906,-32.90056
491,-68.83702,-32.89769
492,-68.83728,-32.8987
493,-68.83639,-32.89887
494,-68.8375,-32.8996
495,-68.83876,-32.89945
496,-68.84737,-32.89958
497,-68.8474,-32.89958
498,-68.84814,-32.8996
499,-68.84779,-32.89963
500,-68.85019,-32.89966
501,-68.8492,-32.89968
502,-68.84852,-32.89971
503,-68.84779,-32.89975
504,-68.84709,-32.89976
505,-68.8482,-32.89922
506,-68.85087,-32.89995
507,-68.85091,-32.90027
508,-68.85094,-32.9006
509,-68.85143,-32.90061
