fid,NOMBRE,heatmap_co
471,LAGUNA BLANCA,0.83236
472,CHILE,7.26648
473,CHILE,5.05897
474,CHILE,7.26648
475,ESTRADA JOSE MANUEL,7.26648
476,ESTRADA JOSE MANUEL,6.39197
477,ESTRADA JOSE MANUEL,7.26648
478,ESTRADA JOSE MANUEL,6.39197
479,CALLE NÃ‚Âº1,0.54168
480,CALLE NÃ‚Âº1,0.11018
481,CALLE NÃ‚Âº1,0.11018
482,CALLE NÃ‚Âº1,0.54168
483,CIPOLLETTI CESAR ING,0.00200
484,CIPOLLETTI CESAR ING,0.11018
485,CIPOLLETTI CESAR ING,0.11018
486,25 DE MAYO,7.17103
487,25 DE MAYO,6.28984
488,25 DE MAYO,6.28984
489,25 DE MAYO,7.17103
490,MORENO JOSE MARIA,6.39197
491,MORENO JOSE MARIA,6.39197
492,MORENO JOSE MARIA,6.40605
493,MORENO JOSE MARIA,6.40605
494,LLORENS JOSE RVDO,2.08342
495,LLORENS JOSE RVDO,3.66818
496,LLORENS JOSE RVDO,3.66818
497,ESTRADA JOSE MANUEL,8.10288
498,ESTRADA JOSE MANUEL,8.10288
499,ESTRADA JOSE MANUEL,7.17103
500,ESTRADA JOSE MANUEL,7.17103
501,DE LUCIA FIDEL,8.10288
502,DE LUCIA FIDEL,8.10288
503,DE LUCIA FIDEL,6.28984
504,DE LUCIA FIDEL,6.28984
505,RUBILAR FRANCISCO,11.20634
506,RUBILAR FRANCISCO,10.16084
507,RUBILAR FRANCISCO,10.16084
508,RUBILAR FRANCISCO,11.20634
509,ESTRADA JOSE MANUEL,7.17103
510,ESTRADA JOSE MANUEL,6.40605
511,ESTRADA JOSE MANUEL,6.40605
512,ESTRADA JOSE MANUEL,7.17103
513,MITRE BARTOLOME GRAL AV,5.22465
514,MITRE BARTOLOME GRAL AV,5.22465
515,MITRE BARTOLOME GRAL AV,8.06688
516,MITRE BARTOLOME GRAL AV,5.22465
517,MITRE BARTOLOME GRAL AV,8.06688
518,MITRE BARTOLOME GRAL AV,8.06688
519,ESTRADA JOSE MANUEL,7.26648
520,ESTRADA JOSE MANUEL,7.26648
521,ESTRADA JOSE MANUEL,8.06688
522,ESTRADA JOSE MANUEL,8.06688
523,ESTRADA JOSE MANUEL,8.06688
524,ITALIA,9.96508
525,ITALIA,11.20634
526,ITALIA,11.20634
527,ITALIA,9.96508
528,MITRE BARTOLOME GRAL AV,7.98024
529,MITRE BARTOLOME GRAL AV,5.33656
530,MITRE BARTOLOME GRAL AV,7.98024
531,MITRE BARTOLOME GRAL AV,5.33656
532,MITRE BARTOLOME GRAL AV,7.98024
533,MITRE BARTOLOME GRAL AV,5.33656
534,ESTRADA JOSE MANUEL,7.98024
535,ESTRADA JOSE MANUEL,8.06688
536,ESTRADA JOSE MANUEL,7.98024
537,ESTRADA JOSE MANUEL,7.98024
538,ESTRADA JOSE MANUEL,8.06688
539,ESTRADA JOSE MANUEL,8.06688
540,PERU,8.35445
541,PERU,9.09268
542,PERU,9.09268
543,PERU,8.35445
544,LAS BOVEDAS,1.13380
545,LAS BOVEDAS,3.66818
546,LAS BOVEDAS,1.13380
547,LAS BOVEDAS,3.66818
548,EMAUS,1.13380
549,EMAUS,1.04734
550,EMAUS,1.13380
551,ITALIA,7.75139
552,ITALIA,9.96508
553,ITALIA,7.75139
554,ITALIA,7.75139
555,ITALIA,9.96508
556,12 DE FEBRERO,7.75139
557,12 DE FEBRERO,6.25234
558,12 DE FEBRERO,6.25234
559,12 DE FEBRERO,7.75139
560,12 DE FEBRERO,7.75139
561,12 DE FEBRERO,6.25234
562,EL JUNCAL,0.47126
563,EL JUNCAL,0.45430
564,EL JUNCAL,0.47126
565,ESTRADA JOSE MANUEL,9.09268
566,ESTRADA JOSE MANUEL,9.09268
567,ESTRADA JOSE MANUEL,11.31041
568,ESTRADA JOSE MANUEL,11.31041
569,FCGSM,9.80972
570,FCGSM,9.80972
571,FCGSM,11.31041
572,FCGSM,11.31041
573,ITALIA,3.99181
574,ITALIA,3.99181
575,ITALIA,7.75139
576,ITALIA,7.75139
577,ITALIA,7.75139
578,RUBILAR FRANCISCO,11.20634
579,RUBILAR FRANCISCO,11.40845
