fid,PuntoTipo,PuntoNumer,ID,PuntoNombr,Direccion,link,totalpobl,hogares,Desocupado,0 - 14,65 y más,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,toponimo_i,dens pob,macroz_2,Clasifica,Area_Has,Seccion,Nombre,Calidad_residuo,Y_WGS,X_WGS
39,Punto Verde,20,PV20,Aristides y Huarpes,Aristides y Huarpes,500070510,767,284,25,81,136,16,42,30,124,35,96,379,24,732,18,1,0,0,326357,"60,356",Comercial,Altamente urbano,411,5,Residencial Sur,"1,81","-32,89107","-68,86036"
41,Punto Verde,21,PV21,Arístides y Paso de Los Andes,Arístides y Paso de Los Andes,500070510,767,284,25,81,136,16,42,30,124,35,96,379,24,732,18,1,0,0,326357,"60,356",Comercial,Altamente urbano,411,5,Residencial Sur,"1,76","-32,89124","-68,85895"
42,Punto Verde,22,PV22,Arístides y Olascoaga,Arístides y Olascoaga,500070904,700,282,17,80,121,19,52,19,97,21,56,382,26,658,21,0,0,0,326396,"33,844",Comercial,Altamente urbano,411,5,Residencial Sur,"1,76","-32,89253","-68,85469"
32,Punto Verde,23,PV23,Plazoleta Godoy,Olascoaga 1301-1379,500070505,511,201,10,86,80,13,64,30,109,13,46,189,23,476,14,1,0,0,326352,"62,416",Residencial urbano,Urbano,90,5,Residencial Sur,"1,83","-32,88535933","-68,85548672"
46,Punto Verde,24,PV24,25 De Mayo,25 De mayo,500070411,315,165,7,20,65,0,29,3,75,5,35,150,12,310,2,0,3,0,326349,"108,696",Central,Altamente urbano,225,2,Barrio Civico,"1,75","-32,88941","-68,84705"
48,Punto Verde,25,PV25,Gutierrez y España (Cultura),Gutierrez y España,500070402,398,196,13,32,116,4,41,11,75,15,48,175,17,387,1,0,1,0,326239,"37,544",Central,Altamente urbano,225,2,Barrio Civico,"1,70","-32,88809288","-68,84159087"
51,Punto Verde,27,PV27,Necochea (San Francisco),Necochea 275,500070116,466,113,5,56,61,7,67,39,108,20,46,155,13,442,15,1,0,0,326323,"52,108",Central,Altamente urbano,225,1,Parque Central,"1,74","-32,88676","-68,84199"
53,Punto Verde,28,PV28,Gutierrez y San Martín,Gutierrez y 9 de julio,500070113,395,131,9,30,67,4,50,9,91,21,40,159,9,376,9,1,0,0,326320,"85,442",Central,Altamente urbano,225,1,Parque Central,"1,72","-32,88836007","-68,83908338"
55,Punto Verde,29,PV29,Plaza Independencia,Patricias Mendocinas 1194-1110,500070402,398,196,13,32,116,4,41,11,75,15,48,175,17,387,1,0,1,0,326239,"37,544",Central,Altamente urbano,225,2,Barrio Civico,"1,72","-32,88985","-68,84323"
5,Punto Verde,3,PV3,Gimnasio N° 2,Alpatacal 3150,500071102,878,309,27,123,192,20,115,38,181,41,91,327,36,831,25,0,0,2,326431,"69,804",Residencial urbano,Urbano,490,6,Residencial Norte,"1,72","-32,86608","-68,85376"
57,Punto Verde,31,PV31,U.T.N.,Rodeiguez 273,500070904,700,282,17,80,121,19,52,19,97,21,56,382,26,658,21,0,0,0,326396,"33,844",Residencial urbano,Urbano,114,5,Residencial Sur,"1,83","-32,89731","-68,85313"
59,Punto Verde,32,PV32,San Martin y Virgen del Carmen de Cuyo,San Martin y Virgen del Carmen de Cuyo,500070811,309,142,7,23,48,4,21,4,58,8,36,157,11,297,4,0,3,0,326392,"48,146",Comercial,Altamente urbano,411,2,Barrio Civico,"1,74","-32,89827","-68,84135"
61,Punto Verde,33,PV33,Escuela Mitre,San Juan 417,500070803,1020,358,41,192,91,30,96,72,213,49,140,342,16,941,33,0,0,1,322884,"229,937",Comercial,Altamente urbano,411,2,Barrio Civico,"1,67","-32,89875","-68,83903"
