punto_nombre,punto_numero,punto_tipo,link,poblacion_total,hogares,desocupados,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_red_agua,sin_cloaca,densidad_comercios,x,y
AYACUCHO,6437,Interseccion,500070209,806,304,30,143,116,22,147,45,230,31,88,183,10,739,29,4,0,0,31,-68.83476461,-32.87508607
DEL CASTILLO,6439,Interseccion,500071013,12,1,0,1,0,0,3,0,0,3,5,0,0,12,0,0,0,0,0,-68.86863743,-32.87513524
RODRIGUEZ MARTIN CNEL,6449,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,19,-68.84911507,-32.87514928
PALACIOS PEDRO BENJAMIN,6462,Interseccion,500070211,963,321,19,204,155,26,204,44,278,28,95,207,9,868,41,2,0,0,8,-68.82384402,-32.87511625
ALPATACAL,6473,Interseccion,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,7,-68.85488518,-32.87517414
SALTA,6487,Interseccion,500070209,806,304,30,143,116,22,147,45,230,31,88,183,10,739,29,4,0,0,26,-68.83354634,-32.87515659
MORENO JOSE FEDERICO,6499,Interseccion,500070210,754,255,27,133,165,14,177,28,246,13,74,156,10,708,24,2,0,0,26,-68.83214638,-32.87524488
VIDELA RICARDO GDOR,6512,Interseccion,500070211,963,321,19,204,155,26,204,44,278,28,95,207,9,868,41,2,0,0,8,-68.82388646,-32.87526959
GRANADEROS,6520,Interseccion,500070604,620,215,17,101,103,16,79,42,156,29,62,189,15,577,22,1,0,0,5,-68.85390181,-32.87536236
MONTECASEROS,6532,Interseccion,500070210,754,255,27,133,165,14,177,28,246,13,74,156,10,708,24,2,0,0,23,-68.83072504,-32.87533314
BENEGAS TIBURCIO,6547,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,7,-68.84755452,-32.87542692
ITUZAINGO,6555,Interseccion,500070211,963,321,19,204,155,26,204,44,278,28,95,207,9,868,41,2,0,0,20,-68.82933576,-32.87542142
BENIELLI CARLOS PROFESOR,6570,Interseccion,500070604,620,215,17,101,103,16,79,42,156,29,62,189,15,577,22,1,0,0,6,-68.85316427,-32.87550576
VIDELA CASTILLO,6584,Interseccion,500070211,963,321,19,204,155,26,204,44,278,28,95,207,9,868,41,2,0,0,24,-68.82779695,-32.87547341
ASCASUBI HILARIO,6594,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,0,-68.87104104,-32.87556154
ASCASUBI HILARIO,6596,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,0,-68.87174653,-32.87539094
AYACUCHO,6597,Interseccion,500070211,963,321,19,204,155,26,204,44,278,28,95,207,9,868,41,2,0,0,17,-68.82635432,-32.8755165
PALACIOS PEDRO BENJAMIN,6602,Interseccion,500070211,963,321,19,204,155,26,204,44,278,28,95,207,9,868,41,2,0,0,7,-68.82479409,-32.87559548
VIDELA RICARDO GDOR,6612,Interseccion,500281002,828,225,47,204,87,36,300,58,243,54,19,52,1,734,49,5,0,24,7,-68.82455897,-32.87561318
MARTINEZ DE ROZAS JUAN,6620,Interseccion,500070604,620,215,17,101,103,16,79,42,156,29,62,189,15,577,22,1,0,0,9,-68.85240535,-32.87565816
ASCASUBI HILARIO,6632,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,0,-68.87034625,-32.87572312
CHAMPAGNAT MARCELINO AV,6636,Interseccion,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,0,-68.88193402,-32.87590752
CHAMPAGNAT MARCELINO AV,6637,Interseccion,500071002,741,242,38,116,93,18,120,39,188,46,71,217,14,699,24,0,9,3,3,-68.88207122,-32.87480512
RODRIGUEZ MARTIN CNEL,6641,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,17,-68.84926369,-32.87572655
HUARPES,6645,Interseccion,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,14,-68.85757699,-32.87575432
LARRALDE,6654,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,0,-68.86965144,-32.87589372
PERU,6665,Interseccion,500070103,703,313,18,127,88,16,83,26,134,34,112,237,21,651,15,0,29,0,10,-68.84477544,-32.87591041
PERU,6668,Interseccion,500070102,882,273,30,138,171,21,175,59,199,33,91,218,13,803,40,3,17,22,10,-68.84488219,-32.87597366
OLASCOAGA LAURENTINO CNEL,6678,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,16,-68.85066305,-32.87598971
PASO DE LOS ANDES,6688,Interseccion,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,23,-68.85614469,-32.87602319
DEL CASTILLO,6700,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,0,-68.86891389,-32.87606427
PELLEGRINI CARLOS DR,6713,Interseccion,500070711,924,354,20,136,201,34,120,46,224,36,105,302,17,864,31,0,0,3,33,-68.83695331,-32.8760808
9 DE JULIO,6717,Interseccion,500070711,924,354,20,136,201,34,120,46,224,36,105,302,17,864,31,0,0,3,33,-68.83693187,-32.87611684
ALPATACAL,6727,Interseccion,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,22,-68.85519338,-32.87620243
RODRIGUEZ MARTIN CNEL,6734,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,14,-68.84939106,-32.87623165
EL PARRAL,6746,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,3,-68.84299036,-32.87625083
DE SAN MARTIN JOSE GRAL AV,6754,Interseccion,500070209,806,304,30,143,116,22,147,45,230,31,88,183,10,739,29,4,0,0,44,-68.83563869,-32.87624138
9 DE JULIO,6757,Interseccion,500070106,664,268,21,104,120,16,103,12,154,30,65,233,8,610,18,2,2,0,32,-68.83700639,-32.87627022
DE ESCALADA DE SAN MARTIN R,6764,Interseccion,500070209,806,304,30,143,116,22,147,45,230,31,88,183,10,739,29,4,0,0,44,-68.83535013,-32.87626805
DE SAN MARTIN JOSE GRAL AV,6773,Interseccion,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,44,-68.83564931,-32.87627746
LA RIOJA,6780,Interseccion,500070209,806,304,30,143,116,22,147,45,230,31,88,183,10,739,29,4,0,0,41,-68.83484781,-32.87632149
GRANADEROS,6792,Interseccion,500070605,504,189,10,81,86,13,54,27,118,14,66,180,14,474,16,1,0,1,18,-68.85417795,-32.8763906
BENEGAS TIBURCIO,6802,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,9,-68.84853592,-32.87640193
SALTA,6811,Interseccion,500070209,806,304,30,143,116,22,147,45,230,31,88,183,10,739,29,4,0,0,29,-68.83359746,-32.87639197
INGENIEROS JOSE,6823,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,2,-68.87285626,-32.87648312
INGENIEROS JOSE,6825,Interseccion,500071017,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,0,-68.87252449,-32.87564008
MORENO JOSE FEDERICO,6829,Interseccion,500070213,808,311,23,156,102,37,179,36,251,37,68,149,8,738,40,5,0,1,23,-68.83219751,-32.87646223
BENIELLI CARLOS PROFESOR,6842,Interseccion,500070605,504,189,10,81,86,13,54,27,118,14,66,180,14,474,16,1,0,1,19,-68.85342972,-32.876534
MONTECASEROS,6853,Interseccion,500070213,808,311,23,156,102,37,179,36,251,37,68,149,8,738,40,5,0,1,21,-68.83078688,-32.87653247
ITUZAINGO,6862,Interseccion,500070212,470,157,12,78,85,12,118,12,145,18,60,70,8,433,20,0,0,0,20,-68.82938691,-32.87661172
MARTINEZ DE ROZAS JUAN,6876,Interseccion,500070605,504,189,10,81,86,13,54,27,118,14,66,180,14,474,16,1,0,1,19,-68.8526708,-32.87667738
VIDELA CASTILLO,6885,Interseccion,500070212,470,157,12,78,85,12,118,12,145,18,60,70,8,433,20,0,0,0,25,-68.82790144,-32.87669985
HUARPES,6897,Interseccion,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,20,-68.85785313,-32.87680961
SUIPACHA,6904,Interseccion,500071018,1373,0,0,4,12,2,749,171,290,65,12,29,0,1315,58,0,0,0,7,-68.85924295,-32.87655825
MAIPU,6908,Interseccion,500070212,470,157,12,78,85,12,118,12,145,18,60,70,8,433,20,0,0,0,19,-68.82664039,-32.87677025
