ID;radio_censal;punto_tipo;poblacion;hogares;desocupado;0-14;65_mas;inicial;primario;egb;secundario;polimodal;superior;universitario;post_universitario;lee_y _esc;NoLee_ni_e;hacinamiento;sin_agua;sin_cloaca;densidad_comercial;microzonificacion;macrozonificacion;x;y;index
R18;500070108;Rulero;668;239;17;82;113;9;76;22;210;17;80;210;10;627;17;0;0;0;58;Comercial;Altamente urbano;-68,83989;-32,88202;49
R19;500070115;Rulero;411;192;11;50;100;13;41;11;90;8;57;160;17;390;10;2;0;0;70;Central;Altamente urbano;-68,84482;-32,88393;50
R19;500070504;Rulero;352;163;10;49;52;11;26;16;64;10;38;158;9;324;11;0;0;0;39;Comercial;Altamente urbano;-68,85365;-32,88391;51
R20;500070506;Rulero;770;299;10;88;154;12;73;24;140;19;62;380;38;740;14;0;0;2;26;Residencial urbano;Urbano;-68,85506;-32,88548;52
R22;500070512;Rulero;319;123;6;47;68;9;26;13;53;8;29;154;11;295;13;0;0;0;27;Residencial urbano;Urbano;-68,85072;-32,88643;53
R22;500071310;Rulero;5;0;0;0;1;0;4;0;0;0;0;1;0;3;2;0;0;0;;Especial Parque Gral. San Marti­n;Especial;-68,86721;-32,88526;54
R23;500070305;Rulero;266;126;12;31;42;9;29;3;66;5;38;98;5;247;9;0;0;0;17;Comercial;Altamente urbano;-68,82992;-32,88739;55
R24;500070402;Rulero;398;196;13;32;116;4;41;11;75;15;48;175;17;387;1;0;1;0;72;Central;Altamente urbano;-68,84365;-32,88776;56
R25;500070611;Rulero;358;138;7;50;57;13;42;17;78;10;39;135;8;331;18;0;0;0;13;Residencial urbano;Urbano;-68,85736;-32,88162;57
R26;500070402;Rulero;398;196;13;32;116;4;41;11;75;15;48;175;17;387;1;0;1;0;72;Central;Altamente urbano;-68,84365;-32,88776;58
R27;500070511;Rulero;548;238;7;59;99;15;48;9;95;19;50;275;19;518;15;0;0;1;20;Residencial urbano;Urbano;-68,85432414;-32,8902437;59
R28;500070511;Rulero;548;238;7;59;99;15;48;9;95;19;50;275;19;518;15;0;0;1;20;Residencial urbano;Urbano;-68,85433393;-32,89026014;60
R30;500070905;Rulero;697;295;31;92;109;20;41;30;111;14;55;367;29;651;24;1;1;1;18;Residencial urbano;Urbano;-68,85396;-32,89845;61
R31;500070801;Rulero;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;21;Central;Altamente urbano;-68,8501888;-32,89607131;62
R32;500070801;Rulero;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;75;Central;Altamente urbano;-68,84584;-32,89632;63
R33;500070801;Rulero;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;63;Comercial;Altamente urbano;-68,84129;-32,89655;64
R35;500490412;Rulero;845;253;36;186;122;27;190;56;279;42;57;118;8;753;42;2;0;3;4;Residencial urbano;Urbano;-68,83421;-32,8623;65
