Marca temporal,ID,Tipo de punto,Numero,Clasificacion,ClasificacionNum,TipoResiduo,Cantidad,CantidadNum,¿Se realiza recolección en el momento?,Calidad (grupos)
17/03/2020 10:28:02 a.m.,PV33,Punto Verde,33,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:28:02 a.m.,PV33,Punto Verde,33,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 10:28:02 a.m.,PV33,Punto Verde,33,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 10:31:30 a.m.,PV4,Punto Verde,4,Buena,1.00,Plástico,Alto,3.00,Sí,Buena
17/03/2020 10:31:30 a.m.,PV4,Punto Verde,4,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:31:30 a.m.,PV4,Punto Verde,4,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 10:33:28 a.m.,PV9,Punto Verde,9,Buena,1.00,"Vidrio, Metal, Tetra",Bajo,1.00,Sí,Buena
17/03/2020 10:33:28 a.m.,PV9,Punto Verde,9,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:33:28 a.m.,PV9,Punto Verde,9,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 10:36:30 a.m.,PV14,Punto Verde,14,Buena,1.00,"Vidrio, Metal, Tetra",Bajo,1.00,Sí,Buena
17/03/2020 10:36:30 a.m.,PV14,Punto Verde,14,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:36:30 a.m.,PV14,Punto Verde,14,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 10:39:13 a.m.,PV8,Punto Verde,8,Buena,1.00,Papel,Alto,3.00,Sí,Buena
17/03/2020 10:39:13 a.m.,PV8,Punto Verde,8,Buena,1.00,Plástico,Alto,3.00,Sí,Buena
17/03/2020 10:39:13 a.m.,PV8,Punto Verde,8,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 10:41:10 a.m.,PV4,Punto Verde,4,Buena,1.00,"Vidrio, Metal, Tetra",Nulo,,Sí,Buena
17/03/2020 10:41:10 a.m.,PV4,Punto Verde,4,Buena,1.00,Plástico,Bajo,1.00,Sí,Buena
17/03/2020 10:41:10 a.m.,PV4,Punto Verde,4,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/06/2020 03:12:26 p.m.,PV12,Punto Verde,12,Buena,1.00,"Vidrio, Metal, Tetra",Bajo,1.00,Sí,Buena
17/06/2020 03:12:26 p.m.,PV12,Punto Verde,12,Buena,1.00,Papel,Medio,2.00,Sí,Buena
