ID,totalpobl,hogares,Desocupado,0 - 14,65 y más,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,dens pob,macroz_2,Clasifica,Area_Has,Seccion,Y_WGS,X_WGS,Callidad_Residuo
R39,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,56.481,6,4,90,5,-32.88548,-68.85506,Buena
R4,876,287,39,157,125,23,229,59,261,57,55,130,8,810,35,3,0,1,73.713,6,4,131,4,-32.87064,-68.8212,Regular
R40,528,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,46.598,6,4,41,2,-32.90143,-68.84837,Regular
R41,699,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,46.368,2,1,411,3,-32.89305,-68.83231,Buena
R42,743,302,23,121,96,21,115,47,203,26,94,187,16,691,32,2,0,1,32.555,2,1,411,3,-32.88441,-68.82913,Buena
R43,564,190,12,48,113,5,56,16,101,22,71,261,18,538,13,0,0,0,53.042,6,4,114,5,-32.89678611,-68.85914577,Buena
R5,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,29.117,5,3,278,10,-32.87228,-68.88335,Buena
R6,1057,259,56,300,71,51,430,65,254,55,34,45,3,904,90,14,0,2,86.166,6,4,490,7,-32.87273,-68.86721,Mala
R7,1259,325,107,361,98,53,517,78,335,72,37,52,1,1101,83,11,2,11,117.411,6,4,490,8,-32.8678,-68.86221,Buena
R8,784,305,27,106,122,18,116,26,194,29,109,236,18,735,23,1,5,0,47.352,6,4,112,4,-32.86588,-68.84179,Buena
R9,452,169,24,49,92,8,55,19,102,18,56,174,12,439,8,0,0,0,129.106,6,4,112,4,-32.8689,-68.83785,Buena
