ID,Numero,CantidadNum,fid,totalpobl,hogares,Desocupado,0 - 14,65 y más,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,toponimo_i,dens pob,Area_Has,Seccion,ClasificacionNum2,Tipo de punto_Rulero,TipoResiduo_Papel,TipoResiduo_Plástico,"TipoResiduo_Vidrio, Metal, Tetra",macroz_2_Comercial,macroz_2_Especial Parque Gral. San Marti?n,macroz_2_Residencial suburbano,macroz_2_Residencial urbano
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,0,0,0,0,1,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,0,0,0,0,1,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,0,0,0,0,1,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,0,0,0,0,1,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,0,0,0,1,0,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,0,0,0,0,1,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,0,0,0,1,0,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,0,0,0,0,1,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,0,0,0,1,0,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,0,0,1,0,0,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,1,0,0,0,1,0,0,0,0
PV18,18,1.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,1,0,0,0,1,0,0,0,0
PV18,18,3.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,1,0,0,1,0,0,0,0,0
PV18,18,2.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,1,0,1,0,0,0,0,0,0
PV18,18,2.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,1,0,0,1,0,0,0,0,0
PV18,18,2.0,34.0,411.0,192.0,11.0,50.0,100.0,13.0,41.0,11.0,90.0,8.0,57.0,160.0,17.0,390.0,10.0,2.0,0.0,0.0,326322.0,87.671,225.0,1.0,1,0,1,0,0,0,0,0,0
PV19,19,2.0,36.0,704.0,212.0,25.0,91.0,142.0,10.0,131.0,11.0,218.0,10.0,58.0,205.0,27.0,660.0,24.0,0.0,0.0,0.0,326315.0,49.598,411.0,1.0,1,0,1,0,0,1,0,0,0
PV19,19,2.0,36.0,704.0,212.0,25.0,91.0,142.0,10.0,131.0,11.0,218.0,10.0,58.0,205.0,27.0,660.0,24.0,0.0,0.0,0.0,326315.0,49.598,411.0,1.0,1,0,0,0,1,1,0,0,0
PV19,19,2.0,36.0,704.0,212.0,25.0,91.0,142.0,10.0,131.0,11.0,218.0,10.0,58.0,205.0,27.0,660.0,24.0,0.0,0.0,0.0,326315.0,49.598,411.0,1.0,1,0,0,1,0,1,0,0,0
PV20,20,2.0,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,0,0,0,1,0,1,0,0,0
PV20,20,2.0,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,0,0,0,1,0,1,0,0,0
PV20,20,2.0,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,0,0,0,1,0,1,0,0,0
PV20,20,2.0,39.0,767.0,284.0,25.0,81.0,136.0,16.0,42.0,30.0,124.0,35.0,96.0,379.0,24.0,732.0,18.0,1.0,0.0,0.0,326357.0,60.356,411.0,5.0,0,0,0,1,0,1,0,0,0
