ID,radio_censal,punto_tipo,poblacion,hogares,desocupado,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_agua,sin_cloaca,densidad_comercial,microzonificacion,macrozonificacion,x,y,index,clasificacion
I2073,500070807.0,Intersercción,594.0,212.0,7.0,62.0,116.0,11.0,43.0,27.0,98.0,24.0,61.0,295.0,20.0,573.0,9.0,0.0,2.0,1.0,50.0,Residencial urbano,Urbano,"-68,84373592","-32,90198594",2146,0.0
I2074,500070910.0,Intersercción,656.0,263.0,20.0,86.0,111.0,15.0,66.0,19.0,112.0,26.0,74.0,305.0,16.0,620.0,19.0,0.0,0.0,0.0,19.0,Residencial urbano,Urbano,"-68,8558782","-32,90202758",2147,0.0
I2075,500070910.0,Intersercción,656.0,263.0,20.0,86.0,111.0,15.0,66.0,19.0,112.0,26.0,74.0,305.0,16.0,620.0,19.0,0.0,0.0,0.0,15.0,Residencial urbano,Urbano,"-68,85724626","-32,90208325",2148,0.0
I2076,500070911.0,Intersercción,583.0,217.0,24.0,76.0,121.0,14.0,55.0,26.0,114.0,22.0,73.0,242.0,21.0,559.0,11.0,0.0,0.0,0.0,20.0,Residencial urbano,Urbano,"-68,86014288","-32,90209554",2149,0.0
I2077,500070911.0,Intersercción,583.0,217.0,24.0,76.0,121.0,14.0,55.0,26.0,114.0,22.0,73.0,242.0,21.0,559.0,11.0,0.0,0.0,0.0,20.0,Residencial urbano,Urbano,"-68,8601215","-32,90209551",2150,0.0
I2078,500281601.0,Intersercción,836.0,278.0,27.0,161.0,137.0,19.0,227.0,63.0,250.0,41.0,79.0,103.0,1.0,771.0,28.0,1.0,0.0,13.0,18.0,Comercial,Altamente urbano,"-68,83721563","-32,90209484",2151,1.0
I2079,500070911.0,Intersercción,583.0,217.0,24.0,76.0,121.0,14.0,55.0,26.0,114.0,22.0,73.0,242.0,21.0,559.0,11.0,0.0,0.0,0.0,9.0,Residencial urbano,Urbano,"-68,86138271","-32,90213299",2152,0.0
I2080,500070912.0,Intersercción,340.0,146.0,13.0,31.0,66.0,7.0,26.0,8.0,63.0,19.0,32.0,165.0,10.0,323.0,8.0,0.0,1.0,3.0,1.0,Residencial urbano,Urbano,"-68,86376623","-32,90217167",2153,0.0
I2081,500070911.0,Intersercción,583.0,217.0,24.0,76.0,121.0,14.0,55.0,26.0,114.0,22.0,73.0,242.0,21.0,559.0,11.0,0.0,0.0,0.0,2.0,Residencial urbano,Urbano,"-68,86263323","-32,90217043",2154,0.0
I2082,500070912.0,Intersercción,340.0,146.0,13.0,31.0,66.0,7.0,26.0,8.0,63.0,19.0,32.0,165.0,10.0,323.0,8.0,0.0,1.0,3.0,0.0,Residencial urbano,Urbano,"-68,86472697","-32,90162898",2155,0.0
