SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
6ta Seccion Residencial Norte,Residencial urbano,Urbano,81.321,6,Residencial Norte,500071105,825,310,22,122,189,26,141,28,235,37,73,238,6,771,29,1,0,2,,,,-68.84959,-32.86533,"-68,84959-32,86533",1020,6.79733
6ta Seccion Residencial Norte,Comercial,Altamente urbano,71.373,6,Residencial Norte,500070701,643,212,25,104,87,17,118,29,171,42,66,145,19,595,20,3,0,8,,,,-68.84314,-32.86367,"-68,84314-32,86367",329,9.72466
6ta Seccion Residencial Norte,Residencial urbano,Urbano,81.321,6,Residencial Norte,500071105,825,310,22,122,189,26,141,28,235,37,73,238,6,771,29,1,0,2,,,,-68.85106,-32.86641,"-68,85106-32,86641",1696,4.92793
8va Seccion Aeroparque,Residencial urbano,Urbano,121.811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-68.86412,-32.86376,"-68,86412-32,86376",373,0.56991
8va Seccion Aeroparque,Residencial urbano,Urbano,129.962,8,Aeroparque,500071005,1244,335,66,350,129,56,491,101,320,63,39,33,1,1054,108,23,0,12,,,,-68.86792,-32.86391,"-68,86792-32,86391",414,1.04734
8va Seccion Aeroparque,Residencial urbano,Urbano,143.919,8,Aeroparque,500071004,1587,381,43,470,156,84,492,306,295,166,23,33,0,1360,132,30,0,6,,,,-68.86851,-32.86394,"-68,86851-32,86394",417,0.4543
6ta Seccion Residencial Norte,Residencial urbano,Urbano,77.932,6,Residencial Norte,500071104,796,294,35,127,164,25,124,27,222,33,88,214,25,738,30,0,0,0,,,,-68.84911,-32.86458,"-68,84911-32,86458",675,5.50787
6ta Seccion Residencial Norte,Residencial urbano,Urbano,77.932,6,Residencial Norte,500071104,796,294,35,127,164,25,124,27,222,33,88,214,25,738,30,0,0,0,,,,-68.84861,-32.86454,"-68,84861-32,86454",649,4.29901
6ta Seccion Residencial Norte,Residencial urbano,Urbano,69.804,6,Residencial Norte,500071102,878,309,27,123,192,20,115,38,181,41,91,327,36,831,25,0,0,2,,,,-68.85506,-32.86402,"-68,85506-32,86402",443,0.94647
8va Seccion Aeroparque,Residencial urbano,Urbano,121.811,8,Aeroparque,500071006,1614,413,102,498,122,56,491,388,294,110,36,40,2,1374,142,34,0,4,,,,-68.86349,-32.8641,"-68,86349-32,8641",465,0.83236
,Residencial urbano,Urbano,71.373,4,Cuarta Oeste,500070701,643,212,25,104,87,17,118,29,171,42,66,145,19,595,20,3,0,8,,,,-68.83928,-32.8641,"-68,83928-32,8641",472,7.26648
6ta Seccion Residencial Norte,Residencial urbano,Urbano,69.06,6,Residencial Norte,500070605,504,189,10,81,86,13,54,27,118,14,66,180,14,474,16,1,0,1,,,,-68.85343,-32.87653,"-68,85343-32,87653",6842,18.97516
6ta Seccion Residencial Norte,Residencial urbano,Urbano,61.018,6,Residencial Norte,500070604,620,215,17,101,103,16,79,42,156,29,62,189,15,577,22,1,0,0,,,,-68.8539,-32.87536,"-68,8539-32,87536",6520,5.35394
,Comercial,Altamente urbano,71.373,4,,500070701,643,212,25,104,87,17,118,29,171,42,66,145,19,595,20,3,0,8,,,,-68.84221,-32.86431,"-68,84221-32,86431",541,9.09268
6ta Seccion Residencial Norte,Residencial urbano,Urbano,64.834,6,Residencial Norte,500070603,691,239,20,108,152,18,97,45,167,29,75,215,12,648,21,1,0,2,,,,-68.85465,-32.87415,"-68,85465-32,87415",6113,8.04339
